Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A790058,Caramel,05/04/2019 01:13:00 PM,05/04/2019 01:13:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White,Caramel,05/25/2019 06:36:00 PM,05/25/2019 06:36:00 PM,03/04/2017,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White,0.0
A795117,Princezz,05/16/2019 11:59:00 AM,05/16/2019 11:59:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Boxer/Pit Bull,Black/White,Princezz,05/19/2019 12:15:00 PM,05/19/2019 12:15:00 PM,02/16/2019,Dog,Spayed Female,3 months,Boxer/Pit Bull,Black/White,0.0
A616934,Rambo,07/20/2018 12:37:00 PM,07/20/2018 12:37:00 PM,Macmora Drive And Click in Austin (TX),Stray,Normal,Dog,Intact Male,8 years,Pit Bull Mix,Blue/White,Rambo,08/07/2018 07:44:00 PM,08/07/2018 07:44:00 PM,01/01/2010,Dog,Intact Male,8 years,Pit Bull Mix,Blue/White,0.0
A795023,,05/15/2019 11:14:00 AM,05/15/2019 11:14:00 AM,2014 Wheless Lane in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Brown Tabby/White,,05/19/2019 11:14:00 AM,05/19/2019 11:14:00 AM,05/15/2018,Cat,Intact Male,1 year,Domestic Shorthair,Brown Tabby/White,0.0
A742950,*Martin,02/22/2017 09:41:00 AM,02/22/2017 09:41:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,*Martin,06/12/2017 01:18:00 PM,06/12/2017 01:18:00 PM,01/31/2016,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,0.0
A750937,*Perpetua,06/02/2017 12:45:00 PM,06/02/2017 12:45:00 PM,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby,*Perpetua,06/09/2017 12:00:00 AM,06/09/2017 12:00:00 AM,05/11/2017,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Orange Tabby,0.0
A689408,*Gypsy,10/03/2014 04:30:00 PM,10/03/2014 04:30:00 PM,2329 Bendridge in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,*Gypsy,11/25/2014 10:18:00 AM,11/25/2014 10:18:00 AM,08/19/2014,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,0.0
A802508,*Gargamel,08/19/2019 01:18:00 PM,08/19/2019 01:18:00 PM,14000 Tyburn Trail in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Longhair,Blue Tabby,*Gargamel,09/29/2019 01:30:00 PM,09/29/2019 01:30:00 PM,07/18/2019,Cat,Neutered Male,2 months,Domestic Longhair,Blue Tabby,0.0
A736346,*Nightshade,10/09/2016 11:00:00 AM,10/09/2016 11:00:00 AM,5006 Emerald Forest in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,*Nightshade,11/07/2016 06:23:00 PM,11/07/2016 06:23:00 PM,09/02/2016,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A790365,,03/08/2019 11:53:00 PM,03/08/2019 11:53:00 PM,21007 Hog Eye Rd in Travis (TX),Stray,Normal,Other,Unknown,1 year,Bat,Black,,03/10/2019 09:33:00 AM,03/10/2019 09:33:00 AM,03/08/2018,Other,Unknown,1 year,Bat,Black,1.0
A802736,*Otto,08/21/2019 07:28:00 PM,08/21/2019 07:28:00 PM,11800 Garden Gate Dr in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Beagle/Labrador Retriever,Brown/White,*Otto,08/28/2019 11:22:00 AM,08/28/2019 11:22:00 AM,08/21/2018,Dog,Neutered Male,1 year,Beagle/Labrador Retriever,Brown/White,0.0
A811335,*Manfred,01/02/2020 10:30:00 AM,01/02/2020 10:30:00 AM,204 Meadow Lea Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,German Shepherd,Black/Tan,*Manfred,01/09/2020 11:45:00 AM,01/09/2020 11:45:00 AM,01/02/2018,Dog,Intact Male,2 years,German Shepherd,Black/Tan,0.0
A767918,,03/09/2018 01:32:00 PM,03/09/2018 01:32:00 PM,8311 Annabelle Drive in Travis (TX),Stray,Nursing,Dog,Unknown,1 weeks,Chihuahua Shorthair Mix,Brown/Black,,03/09/2018 01:33:00 PM,03/09/2018 01:33:00 PM,02/26/2018,Dog,Unknown,1 weeks,Chihuahua Shorthair Mix,Brown/Black,0.0
A756051,,08/13/2017 01:06:00 PM,08/13/2017 01:06:00 PM,14000 Sunderland Dr in Austin (TX),Stray,Normal,Cat,Intact Male,5 months,American Shorthair Mix,Black/Black,,08/18/2017 05:39:00 PM,08/18/2017 05:39:00 PM,02/13/2017,Cat,Intact Male,6 months,American Shorthair Mix,Black/Black,0.0
A765199,Mila,01/15/2018 11:03:00 AM,01/15/2018 11:03:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Pointer Mix,Black/White,Mila,01/17/2018 05:33:00 PM,01/17/2018 05:33:00 PM,11/15/2017,Dog,Spayed Female,2 months,Pointer Mix,Black/White,0.0
A727185,Rey,05/19/2016 11:29:00 AM,05/19/2016 11:29:00 AM,1600 Grove Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Anatol Shepherd Mix,Tan/Black,Rey,05/21/2016 06:10:00 PM,05/21/2016 06:10:00 PM,10/19/2015,Dog,Neutered Male,7 months,Anatol Shepherd Mix,Tan/Black,0.0
A782255,Buddy,10/12/2018 02:07:00 PM,10/12/2018 02:07:00 PM,6708 Lancret Hill Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby,Buddy,11/13/2018 12:00:00 AM,11/13/2018 12:00:00 AM,10/12/2008,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby,0.0
A769229,Shelby,04/01/2018 06:42:00 PM,04/01/2018 06:42:00 PM,South Congress And Stassney in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever/Weimaraner,Black/White,Shelby,04/03/2018 05:33:00 PM,04/03/2018 05:33:00 PM,04/01/2016,Dog,Intact Female,2 years,Labrador Retriever/Weimaraner,Black/White,0.0
A731125,,07/16/2016 04:14:00 PM,07/16/2016 04:14:00 PM,Riverside And Montopolis Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,German Shepherd Mix,Black/Brown,,07/21/2016 06:37:00 PM,07/21/2016 06:37:00 PM,05/16/2016,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown,0.0
A759416,Riley,10/03/2017 10:24:00 AM,10/03/2017 10:24:00 AM,12028 Trot Wood Drive in Austin (TX),Public Assist,Normal,Cat,Neutered Male,12 years,Domestic Medium Hair Mix,Blue Tabby,Riley,10/11/2017 11:25:00 AM,10/11/2017 11:25:00 AM,10/03/2005,Cat,Neutered Male,12 years,Domestic Medium Hair Mix,Blue Tabby,0.0
A771998,,05/13/2018 01:24:00 PM,05/13/2018 01:24:00 PM,2906 East Martin Luther King Jr Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,,05/15/2018 09:35:00 AM,05/15/2018 09:35:00 AM,04/15/2018,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,0.0
A756501,,08/21/2017 07:36:00 AM,08/21/2017 07:36:00 AM,6705 Hillcroft in Austin (TX),Stray,Sick,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,,08/21/2017 01:31:00 PM,08/21/2017 01:31:00 PM,06/21/2017,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,0.0
A720168,Rocky,04/05/2016 12:46:00 PM,04/05/2016 12:46:00 PM,Fletcher Ln And Tx-71 in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Tan,Rocky,04/05/2016 02:33:00 PM,04/05/2016 02:33:00 PM,02/03/2013,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Tan,0.0
A730022,Gorda Osita,06/27/2016 12:53:00 PM,06/27/2016 12:53:00 PM,5700 Peppertree in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Chihuahua Shorthair Mix,Brown/Black,Gorda Osita,06/27/2016 04:07:00 PM,06/27/2016 04:07:00 PM,10/14/2015,Dog,Intact Female,8 months,Chihuahua Shorthair Mix,Brown/Black,0.0
A743775,Jackie,05/23/2017 09:20:00 AM,05/23/2017 09:20:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,White/Tan,Jackie,05/26/2017 05:40:00 PM,05/26/2017 05:40:00 PM,02/16/2016,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,White/Tan,0.0
A768027,Toki,03/11/2018 03:15:00 PM,03/11/2018 03:15:00 PM,Marquette And Haney Drive in Austin (TX),Stray,Normal,Dog,Intact Male,10 years,Pug,Fawn,Toki,03/13/2018 11:31:00 AM,03/13/2018 11:31:00 AM,03/11/2008,Dog,Intact Male,10 years,Pug,Fawn,0.0
A750882,*Hepburn,06/01/2017 04:53:00 PM,06/01/2017 04:53:00 PM,Manchaca And Slaughter in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Border Collie Mix,White/Black,*Hepburn,06/11/2017 12:11:00 PM,06/11/2017 12:11:00 PM,06/01/2015,Dog,Spayed Female,2 years,Border Collie Mix,White/Black,0.0
A808978,,11/17/2019 11:44:00 AM,11/17/2019 11:44:00 AM,Jonestown (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Dachshund/Chihuahua Longhair,Cream/White,,11/18/2019 05:16:00 PM,11/18/2019 05:16:00 PM,09/22/2019,Dog,Neutered Male,1 month,Dachshund/Chihuahua Longhair,Cream/White,0.0
A793306,,04/23/2019 11:49:00 AM,04/23/2019 11:49:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Great Dane Mix,Black,,04/25/2019 06:55:00 PM,04/25/2019 06:55:00 PM,02/14/2019,Dog,Neutered Male,2 months,Great Dane Mix,Black,0.0
A750029,*Pepper,05/22/2017 06:14:00 PM,05/22/2017 06:14:00 PM,11413 Darrin Ln in Travis (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby/White,*Pepper,07/01/2017 01:13:00 PM,07/01/2017 01:13:00 PM,04/22/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,0.0
A702315,*Zeppo,05/12/2015 11:15:00 AM,05/12/2015 11:15:00 AM,911 North Meadow Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,*Zeppo,06/20/2015 02:56:00 PM,06/20/2015 02:56:00 PM,04/05/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,0.0
A763042,Molly,12/01/2017 06:18:00 PM,12/01/2017 06:18:00 PM,10312 Catherine in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,White/Brown Tabby,Molly,12/23/2017 04:39:00 PM,12/23/2017 04:39:00 PM,08/17/2017,Cat,Spayed Female,4 months,Domestic Shorthair Mix,White/Brown Tabby,0.0
A802270,*Falcon,08/15/2019 06:45:00 PM,08/15/2019 06:45:00 PM,Adina And Bandera in Austin (TX),Stray,Nursing,Dog,Intact Male,1 week,Pit Bull Mix,White/Black,*Falcon,08/31/2019 03:31:00 PM,08/31/2019 03:31:00 PM,08/08/2019,Dog,Intact Male,3 weeks,Pit Bull Mix,White/Black,0.0
A666221,Ladybird,10/29/2013 12:09:00 AM,10/29/2013 12:09:00 AM,12034 Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Beagle,Tricolor,Ladybird,10/29/2013 06:41:00 PM,10/29/2013 06:41:00 PM,10/29/2012,Dog,Intact Female,1 year,Beagle,Tricolor,0.0
A795947,Emma,05/30/2019 07:31:00 PM,05/30/2019 07:31:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,5 years,Old English Sheepdog Mix,Gray/White,Emma,06/04/2019 03:27:00 PM,06/04/2019 03:27:00 PM,05/26/2014,Dog,Spayed Female,5 years,Old English Sheepdog Mix,Gray/White,0.0
A692613,Harvey,11/23/2014 01:53:00 PM,11/23/2014 01:53:00 PM,1306 Perez St in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/White,Harvey,12/07/2014 01:20:00 PM,12/07/2014 01:20:00 PM,10/01/2014,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie/White,0.0
A691425,Mimsy,11/04/2014 12:17:00 PM,11/04/2014 12:17:00 PM,4106 N.Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pointer Mix,White/Black,Mimsy,11/28/2014 01:31:00 PM,11/28/2014 01:31:00 PM,11/04/2012,Dog,Spayed Female,2 years,Pointer Mix,White/Black,0.0
A786098,*Joy,12/16/2018 05:41:00 PM,12/16/2018 05:41:00 PM,South Mopac Expressway And 360 in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,*Joy,01/09/2019 02:40:00 PM,01/09/2019 02:40:00 PM,11/10/2018,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Brown Tabby,0.0
A757463,109,09/02/2017 08:24:00 PM,09/02/2017 08:24:00 PM,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,4 years,Vizsla Mix,Brown,109,09/02/2017 08:49:00 PM,09/02/2017 08:49:00 PM,09/01/2013,Dog,Spayed Female,4 years,Vizsla Mix,Brown,0.0
A734801,Scooby,09/13/2016 11:33:00 AM,09/13/2016 11:33:00 AM,7600 Timber Hills Dr in Del Valle (TX),Stray,Normal,Dog,Intact Male,6 months,Anatol Shepherd/Black Mouth Cur,Tan/Black,Scooby,09/24/2016 12:43:00 PM,09/24/2016 12:43:00 PM,03/13/2016,Dog,Neutered Male,6 months,Anatol Shepherd/Black Mouth Cur,Tan/Black,0.0
A765248,Scabs,01/15/2018 07:05:00 PM,01/15/2018 07:05:00 PM,3411 Lakeside Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby,Scabs,01/16/2018 01:46:00 PM,01/16/2018 01:46:00 PM,01/16/2012,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby,0.0
A390436,Beckham,01/09/2019 12:33:00 PM,01/09/2019 12:33:00 PM,1100 Arcadia Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,13 years,Pointer Mix,White/Brown,Beckham,01/09/2019 02:14:00 PM,01/09/2019 02:14:00 PM,03/25/2005,Dog,Neutered Male,13 years,Pointer Mix,White/Brown,0.0
A680336,*Buddy,06/01/2014 04:03:00 PM,06/01/2014 04:03:00 PM,114 Mist Flower in Pflugerville (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby/White,*Buddy,07/12/2014 08:04:00 PM,07/12/2014 08:04:00 PM,04/28/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,0.0
A738032,Scrunchie,11/08/2016 03:38:00 PM,11/08/2016 03:38:00 PM,1201 Grove Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Agouti,Scrunchie,11/16/2016 05:35:00 PM,11/16/2016 05:35:00 PM,09/08/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Agouti,0.0
A758687,,09/20/2017 12:39:00 PM,09/20/2017 12:39:00 PM,Catherine Drive And Blue Bluff in Austin (TX),Stray,Normal,Cat,Intact Male,1 week,American Shorthair Mix,Black,,09/20/2017 02:42:00 PM,09/20/2017 02:42:00 PM,09/13/2017,Cat,Intact Male,1 week,American Shorthair Mix,Black,0.0
A672748,,02/16/2014 12:33:00 PM,02/16/2014 12:33:00 PM,1111 W 34Th St in Austin (TX),Public Assist,Normal,Other,Unknown,3 years,Bat Mix,Brown/Black,,02/16/2014 01:04:00 PM,02/16/2014 01:04:00 PM,02/16/2011,Other,Unknown,3 years,Bat Mix,Brown/Black,1.0
A677538,,04/26/2014 11:13:00 AM,04/26/2014 11:13:00 AM,909 W 45Th St in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,,04/26/2014 12:02:00 PM,04/26/2014 12:02:00 PM,04/11/2014,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,0.0
A737077,Buster,10/21/2016 06:41:00 PM,10/21/2016 06:41:00 PM,7809 E Ben White Blvd in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan,Buster,11/14/2016 12:33:00 PM,11/14/2016 12:33:00 PM,10/21/2015,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan,0.0
A753452,,07/06/2017 02:54:00 PM,07/06/2017 02:54:00 PM,6808 Porter St in Austin (TX),Wildlife,Sick,Other,Unknown,5 years,Opossum Mix,Gray/White,,07/06/2017 03:08:00 PM,07/06/2017 03:08:00 PM,07/06/2012,Other,Unknown,5 years,Opossum Mix,Gray/White,1.0
A795800,Dillard,05/24/2019 04:40:00 PM,05/24/2019 04:40:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,10 years,Lhasa Apso,Tan/White,Dillard,08/14/2019 09:48:00 AM,08/14/2019 09:48:00 AM,05/24/2009,Dog,Intact Male,10 years,Lhasa Apso,Tan/White,0.0
A690591,,10/22/2014 10:47:00 PM,10/22/2014 10:47:00 PM,2308 Wickersham in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,,10/23/2014 12:32:00 PM,10/23/2014 12:32:00 PM,10/01/2014,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A724376,*Madison,04/16/2016 01:20:00 PM,04/16/2016 01:20:00 PM,10600 Burleson in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Norwich Terrier Mix,Tan,*Madison,04/22/2016 12:27:00 PM,04/22/2016 12:27:00 PM,04/16/2015,Dog,Spayed Female,1 year,Norwich Terrier Mix,Tan,0.0
A675341,*Jasper,04/06/2014 06:14:00 PM,04/06/2014 06:14:00 PM,409 Whitetail Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,*Jasper,04/22/2014 04:13:00 PM,04/22/2014 04:13:00 PM,12/11/2013,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White,0.0
A803736,,09/05/2019 12:49:00 PM,09/05/2019 12:49:00 PM,12803 Broughton Way in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair,Gray Tabby,,09/12/2019 01:57:00 PM,09/12/2019 01:57:00 PM,08/12/2019,Cat,Intact Male,4 weeks,Domestic Shorthair,Gray Tabby,0.0
A730018,,06/27/2016 12:24:00 PM,06/27/2016 12:24:00 PM,2805 Palomino Trl in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Dachshund Wirehair/Miniature Schnauzer,Gray/Tan,,07/02/2016 05:22:00 PM,07/02/2016 05:22:00 PM,06/27/2015,Dog,Spayed Female,1 year,Dachshund Wirehair/Miniature Schnauzer,Gray/Tan,0.0
A714199,,10/19/2015 03:10:00 PM,10/19/2015 03:10:00 PM,8902 Briardale Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,,10/20/2015 09:00:00 AM,10/20/2015 09:00:00 AM,07/19/2015,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,0.0
A690760,Reye,10/25/2014 01:49:00 PM,10/25/2014 01:49:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Rat Terrier Mix,White/Black,Reye,10/27/2014 06:26:00 PM,10/27/2014 06:26:00 PM,04/25/2012,Dog,Spayed Female,2 years,Rat Terrier Mix,White/Black,0.0
A673394,Maya,10/01/2014 11:23:00 AM,10/01/2014 11:23:00 AM,1909 Blue Meadow in Austin (TX),Stray,Injured,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White,Maya,10/02/2014 03:58:00 PM,10/02/2014 03:58:00 PM,02/23/2009,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White,1.0
A585930,Dolly,05/22/2015 01:24:00 PM,05/22/2015 01:24:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Tortie,Dolly,06/27/2015 04:42:00 PM,06/27/2015 04:42:00 PM,02/16/2006,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Tortie,0.0
A782046,Hope,12/06/2019 11:48:00 AM,12/06/2019 11:48:00 AM,Fort Branch And Delano in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,English Coonhound Mix,Tricolor/Brown,Hope,12/08/2019 03:17:00 PM,12/08/2019 03:17:00 PM,08/25/2018,Dog,Spayed Female,1 year,English Coonhound Mix,Tricolor/Brown,0.0
A709748,,08/12/2015 06:23:00 PM,08/12/2015 06:23:00 PM,Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,White,,08/24/2015 11:23:00 AM,08/24/2015 11:23:00 AM,06/27/2015,Cat,Intact Female,1 month,Domestic Shorthair Mix,White,0.0
A707813,,07/18/2015 01:37:00 PM,07/18/2015 01:37:00 PM,12407 Mossy Bark Trail in Austin (TX),Stray,Normal,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,,07/19/2015 09:00:00 AM,07/19/2015 09:00:00 AM,07/18/2013,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,0.0
A769325,,04/03/2018 03:38:00 PM,04/03/2018 03:38:00 PM,Lamar And Guadalupe in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White,,04/08/2018 04:22:00 PM,04/08/2018 04:22:00 PM,02/03/2018,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,0.0
A678416,,05/08/2014 05:08:00 PM,05/08/2014 05:08:00 PM,4402 Quicksilver in Austin (TX),Stray,Normal,Dog,Intact Male,12 years,Yorkshire Terrier Mix,Blue/Tan,,05/13/2014 06:24:00 PM,05/13/2014 06:24:00 PM,05/08/2002,Dog,Neutered Male,12 years,Yorkshire Terrier Mix,Blue/Tan,0.0
A785091,Allie,11/26/2018 12:18:00 PM,11/26/2018 12:18:00 PM,1901 National Park Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,Pug Mix,Fawn/Brown,Allie,11/26/2018 02:38:00 PM,11/26/2018 02:38:00 PM,11/26/2011,Dog,Spayed Female,7 years,Pug Mix,Fawn/Brown,0.0
A690851,Oreo,10/27/2014 11:09:00 AM,10/27/2014 11:09:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Irish Setter/Pit Bull,Black/White,Oreo,10/27/2014 02:04:00 PM,10/27/2014 02:04:00 PM,09/12/2014,Dog,Intact Female,1 month,Irish Setter/Pit Bull,Black/White,0.0
A740256,,12/13/2016 04:25:00 PM,12/13/2016 04:25:00 PM,Wickersham & Cromwell in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,,12/14/2016 08:05:00 AM,12/14/2016 08:05:00 AM,11/22/2016,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A807216,*Fiona,10/22/2019 12:22:00 PM,10/22/2019 12:22:00 PM,Oak Springs Drive And Airport Boulevard in Austin (TX),Stray,Injured,Cat,Spayed Female,1 month,Domestic Shorthair,Black/White,*Fiona,11/29/2019 10:12:00 AM,11/29/2019 10:12:00 AM,08/22/2019,Cat,Spayed Female,3 months,Domestic Shorthair,Black/White,0.0
A754917,Orion,10/06/2017 01:46:00 PM,10/06/2017 01:46:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Other,Neutered Male,6 months,Rabbit Sh Mix,Black,Orion,11/12/2017 12:53:00 PM,11/12/2017 12:53:00 PM,03/26/2017,Other,Neutered Male,7 months,Rabbit Sh Mix,Black,0.0
A681642,Honey,09/02/2014 12:42:00 PM,09/02/2014 12:42:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Chocolate/White,Honey,09/03/2014 01:23:00 PM,09/03/2014 01:23:00 PM,06/19/2012,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Chocolate/White,0.0
A718657,*Schultz,01/04/2016 01:00:00 PM,01/04/2016 01:00:00 PM,Lamplight Village Ave And Scofield Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,White/Chocolate,*Schultz,02/06/2016 02:41:00 PM,02/06/2016 02:41:00 PM,01/04/2015,Dog,Neutered Male,1 year,Pit Bull Mix,White/Chocolate,0.0
A733101,*Buzz,08/17/2016 12:11:00 PM,08/17/2016 12:11:00 PM,13201 N Fm 620 in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,*Buzz,11/22/2016 06:06:00 PM,11/22/2016 06:06:00 PM,08/17/2014,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,0.0
A746400,*Poppy,04/02/2017 11:29:00 AM,04/02/2017 11:29:00 AM,1101 S 1St in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Black/White,*Poppy,04/26/2017 05:45:00 PM,04/26/2017 05:45:00 PM,02/27/2017,Cat,Neutered Male,1 month,Domestic Medium Hair Mix,Black/White,0.0
A805933,*Joey,10/03/2019 06:04:00 PM,10/03/2019 06:04:00 PM,Webberville Road in Austin (TX),Stray,Nursing,Dog,Intact Male,3 weeks,Border Collie Mix,White/Chocolate,*Joey,11/08/2019 06:42:00 PM,11/08/2019 06:42:00 PM,09/11/2019,Dog,Neutered Male,1 month,Border Collie Mix,White/Chocolate,0.0
A743664,*Gallaway,02/14/2017 12:49:00 PM,02/14/2017 12:49:00 PM,W.T Gallaway in Austin (TX),Stray,Injured,Dog,Intact Female,6 months,Dachshund,Black/Brown,*Gallaway,02/25/2017 04:12:00 PM,02/25/2017 04:12:00 PM,08/14/2016,Dog,Intact Female,6 months,Dachshund,Black/Brown,0.0
A686701,,08/25/2014 03:33:00 PM,08/25/2014 03:33:00 PM,124 West Anderson Ln in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,White/Black,,08/26/2014 09:00:00 AM,08/26/2014 09:00:00 AM,03/25/2014,Cat,Intact Female,5 months,Domestic Shorthair Mix,White/Black,0.0
A660928,Sadie,12/02/2014 05:44:00 PM,12/02/2014 05:44:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,7 months,Labrador Retriever Mix,Black/White,Sadie,12/08/2014 05:28:00 PM,12/08/2014 05:28:00 PM,04/03/2014,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black/White,0.0
A735039,,09/17/2016 12:09:00 PM,09/17/2016 12:09:00 PM,7206 Eganhill in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Anatol Shepherd Mix,Sable/White,,09/21/2016 06:24:00 PM,09/21/2016 06:24:00 PM,07/17/2016,Dog,Spayed Female,2 months,Anatol Shepherd Mix,Sable/White,0.0
