Animal ID,Name_Intake,DateTime_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,DateTime_Outcome,Date of Birth,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A769229,Shelby,2018-04-01 18:42:00,South Congress And Stassney in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Weimaraner,Black/White,2018-04-03 17:33:00,2016-04-01 00:00:00,Intact Female,positive,732,730
A731125,,2016-07-16 16:14:00,Riverside And Montopolis Dr in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd Mix,Black/Brown,2016-07-21 18:37:00,2016-05-16 00:00:00,Neutered Male,positive,66,61
A759416,Riley,2017-10-03 10:24:00,12028 Trot Wood Drive in Austin (TX),Public Assist,Normal,Cat,Neutered Male,Domestic Medium Hair Mix,Blue Tabby,2017-10-11 11:25:00,2005-10-03 00:00:00,Neutered Male,positive,4391,4383
A771998,,2018-05-13 13:24:00,2906 East Martin Luther King Jr Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,2018-05-15 09:35:00,2018-04-15 00:00:00,Intact Male,positive,30,28
A756501,,2017-08-21 07:36:00,6705 Hillcroft in Austin (TX),Stray,Sick,Cat,Intact Female,Domestic Shorthair Mix,Black,2017-08-21 13:31:00,2017-06-21 00:00:00,Intact Female,positive,61,61
A720168,Rocky,2016-04-05 12:46:00,Fletcher Ln And Tx-71 in Austin (TX),Stray,Normal,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Tan,2016-04-05 14:33:00,2013-02-03 00:00:00,Neutered Male,positive,1157,1157
A730022,Gorda Osita,2016-06-27 12:53:00,5700 Peppertree in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Brown/Black,2016-06-27 16:07:00,2015-10-14 00:00:00,Intact Female,positive,257,257
A743775,Jackie,2017-05-23 09:20:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Australian Cattle Dog Mix,White/Tan,2017-05-26 17:40:00,2016-02-16 00:00:00,Spayed Female,positive,465,462
A768027,Toki,2018-03-11 15:15:00,Marquette And Haney Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Pug,Fawn,2018-03-13 11:31:00,2008-03-11 00:00:00,Intact Male,positive,3654,3652
A750882,*Hepburn,2017-06-01 16:53:00,Manchaca And Slaughter in Austin (TX),Stray,Normal,Dog,Intact Female,Border Collie Mix,White/Black,2017-06-11 12:11:00,2015-06-01 00:00:00,Spayed Female,positive,741,731
A808978,,2019-11-17 11:44:00,Jonestown (TX),Owner Surrender,Normal,Dog,Intact Male,Dachshund/Chihuahua Longhair,Cream/White,2019-11-18 17:16:00,2019-09-22 00:00:00,Neutered Male,positive,57,56
A793306,,2019-04-23 11:49:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Great Dane Mix,Black,2019-04-25 18:55:00,2019-02-14 00:00:00,Neutered Male,positive,70,68
A750029,*Pepper,2017-05-22 18:14:00,11413 Darrin Ln in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,2017-07-01 13:13:00,2017-04-22 00:00:00,Neutered Male,positive,70,30
A702315,*Zeppo,2015-05-12 11:15:00,911 North Meadow Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Blue,2015-06-20 14:56:00,2015-04-05 00:00:00,Neutered Male,positive,76,37
A763042,Molly,2017-12-01 18:18:00,10312 Catherine in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Brown Tabby,2017-12-23 16:39:00,2017-08-17 00:00:00,Spayed Female,positive,128,106
A802270,*Falcon,2019-08-15 18:45:00,Adina And Bandera in Austin (TX),Stray,Nursing,Dog,Intact Male,Pit Bull Mix,White/Black,2019-08-31 15:31:00,2019-08-08 00:00:00,Intact Male,positive,23,7
A666221,Ladybird,2013-10-29 00:09:00,12034 Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,Beagle,Tricolor,2013-10-29 18:41:00,2012-10-29 00:00:00,Intact Female,positive,365,365
A795947,Emma,2019-05-30 19:31:00,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,Old English Sheepdog Mix,Gray/White,2019-06-04 15:27:00,2014-05-26 00:00:00,Spayed Female,positive,1835,1830
A692613,Harvey,2014-11-23 13:53:00,1306 Perez St in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie/White,2014-12-07 13:20:00,2014-10-01 00:00:00,Intact Female,positive,67,53
A691425,Mimsy,2014-11-04 12:17:00,4106 N.Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,Pointer Mix,White/Black,2014-11-28 13:31:00,2012-11-04 00:00:00,Spayed Female,positive,754,730
A786098,*Joy,2018-12-16 17:41:00,South Mopac Expressway And 360 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,2019-01-09 14:40:00,2018-11-10 00:00:00,Spayed Female,positive,60,36
A757463,109,2017-09-02 20:24:00,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,Vizsla Mix,Brown,2017-09-02 20:49:00,2013-09-01 00:00:00,Spayed Female,positive,1462,1462
A734801,Scooby,2016-09-13 11:33:00,7600 Timber Hills Dr in Del Valle (TX),Stray,Normal,Dog,Intact Male,Anatol Shepherd/Black Mouth Cur,Tan/Black,2016-09-24 12:43:00,2016-03-13 00:00:00,Neutered Male,positive,195,184
A765248,Scabs,2018-01-15 19:05:00,3411 Lakeside Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,2018-01-16 13:46:00,2012-01-16 00:00:00,Neutered Male,positive,2192,2191
A390436,Beckham,2019-01-09 12:33:00,1100 Arcadia Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,Pointer Mix,White/Brown,2019-01-09 14:14:00,2005-03-25 00:00:00,Neutered Male,positive,5038,5038
A680336,*Buddy,2014-06-01 16:03:00,114 Mist Flower in Pflugerville (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,2014-07-12 20:04:00,2014-04-28 00:00:00,Neutered Male,positive,75,34
A738032,Scrunchie,2016-11-08 15:38:00,1201 Grove Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Agouti,2016-11-16 17:35:00,2016-09-08 00:00:00,Neutered Male,positive,69,61
A758687,,2017-09-20 12:39:00,Catherine Drive And Blue Bluff in Austin (TX),Stray,Normal,Cat,Intact Male,American Shorthair Mix,Black,2017-09-20 14:42:00,2017-09-13 00:00:00,Intact Male,positive,7,7
A672748,,2014-02-16 12:33:00,1111 W 34Th St in Austin (TX),Public Assist,Normal,Other,Unknown,Bat Mix,Brown/Black,2014-02-16 13:04:00,2011-02-16 00:00:00,Unknown,negative,1096,1096
A677538,,2014-04-26 11:13:00,909 W 45Th St in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Calico,2014-04-26 12:02:00,2014-04-11 00:00:00,Intact Female,positive,15,15
A737077,Buster,2016-10-21 18:41:00,7809 E Ben White Blvd in Austin (TX),Public Assist,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Tan,2016-11-14 12:33:00,2015-10-21 00:00:00,Neutered Male,positive,390,366
A753452,,2017-07-06 14:54:00,6808 Porter St in Austin (TX),Wildlife,Sick,Other,Unknown,Opossum Mix,Gray/White,2017-07-06 15:08:00,2012-07-06 00:00:00,Unknown,negative,1826,1826
A795800,Dillard,2019-05-24 16:40:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Lhasa Apso,Tan/White,2019-08-14 09:48:00,2009-05-24 00:00:00,Intact Male,positive,3734,3652
A690591,,2014-10-22 22:47:00,2308 Wickersham in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,2014-10-23 12:32:00,2014-10-01 00:00:00,Intact Female,positive,22,21
A724376,*Madison,2016-04-16 13:20:00,10600 Burleson in Travis (TX),Stray,Normal,Dog,Intact Female,Norwich Terrier Mix,Tan,2016-04-22 12:27:00,2015-04-16 00:00:00,Spayed Female,positive,372,366
A675341,*Jasper,2014-04-06 18:14:00,409 Whitetail Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,2014-04-22 16:13:00,2013-12-11 00:00:00,Neutered Male,positive,132,116
A803736,,2019-09-05 12:49:00,12803 Broughton Way in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Gray Tabby,2019-09-12 13:57:00,2019-08-12 00:00:00,Intact Male,positive,31,24
A730018,,2016-06-27 12:24:00,2805 Palomino Trl in Austin (TX),Stray,Normal,Dog,Intact Female,Dachshund Wirehair/Miniature Schnauzer,Gray/Tan,2016-07-02 17:22:00,2015-06-27 00:00:00,Spayed Female,positive,371,366
A714199,,2015-10-19 15:10:00,8902 Briardale Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,2015-10-20 09:00:00,2015-07-19 00:00:00,Intact Male,positive,93,92
A690760,Reye,2014-10-25 13:49:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Rat Terrier Mix,White/Black,2014-10-27 18:26:00,2012-04-25 00:00:00,Spayed Female,positive,915,913
A673394,Maya,2014-10-01 11:23:00,1909 Blue Meadow in Austin (TX),Stray,Injured,Dog,Spayed Female,Pit Bull Mix,Brown Brindle/White,2014-10-02 15:58:00,2009-02-23 00:00:00,Spayed Female,negative,2047,2046
A585930,Dolly,2015-05-22 13:24:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,2015-06-27 16:42:00,2006-02-16 00:00:00,Spayed Female,positive,3418,3382
A782046,Hope,2019-12-06 11:48:00,Fort Branch And Delano in Austin (TX),Stray,Normal,Dog,Spayed Female,English Coonhound Mix,Tricolor/Brown,2019-12-08 15:17:00,2018-08-25 00:00:00,Spayed Female,positive,470,468
A709748,,2015-08-12 18:23:00,Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White,2015-08-24 11:23:00,2015-06-27 00:00:00,Intact Female,positive,58,46
A707813,,2015-07-18 13:37:00,12407 Mossy Bark Trail in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Black,2015-07-19 09:00:00,2013-07-18 00:00:00,Unknown,positive,731,730
A769325,,2018-04-03 15:38:00,Lamar And Guadalupe in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Black/White,2018-04-08 16:22:00,2018-02-03 00:00:00,Neutered Male,positive,64,59
A678416,,2014-05-08 17:08:00,4402 Quicksilver in Austin (TX),Stray,Normal,Dog,Intact Male,Yorkshire Terrier Mix,Blue/Tan,2014-05-13 18:24:00,2002-05-08 00:00:00,Neutered Male,positive,4388,4383
A785091,Allie,2018-11-26 12:18:00,1901 National Park Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,Pug Mix,Fawn/Brown,2018-11-26 14:38:00,2011-11-26 00:00:00,Spayed Female,positive,2557,2557
A690851,Oreo,2014-10-27 11:09:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Irish Setter/Pit Bull,Black/White,2014-10-27 14:04:00,2014-09-12 00:00:00,Intact Female,positive,45,45
A740256,,2016-12-13 16:25:00,Wickersham & Cromwell in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,2016-12-14 08:05:00,2016-11-22 00:00:00,Intact Female,positive,22,21
A807216,*Fiona,2019-10-22 12:22:00,Oak Springs Drive And Airport Boulevard in Austin (TX),Stray,Injured,Cat,Spayed Female,Domestic Shorthair,Black/White,2019-11-29 10:12:00,2019-08-22 00:00:00,Spayed Female,positive,99,61
A754917,Orion,2017-10-06 13:46:00,Outside Jurisdiction,Owner Surrender,Normal,Other,Neutered Male,Rabbit Sh Mix,Black,2017-11-12 12:53:00,2017-03-26 00:00:00,Neutered Male,positive,231,194
A681642,Honey,2014-09-02 12:42:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Chocolate/White,2014-09-03 13:23:00,2012-06-19 00:00:00,Spayed Female,positive,806,805
A718657,*Schultz,2016-01-04 13:00:00,Lamplight Village Ave And Scofield Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,White/Chocolate,2016-02-06 14:41:00,2015-01-04 00:00:00,Neutered Male,positive,398,365
A733101,*Buzz,2016-08-17 12:11:00,13201 N Fm 620 in Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Black/White,2016-11-22 18:06:00,2014-08-17 00:00:00,Neutered Male,positive,828,731
A746400,*Poppy,2017-04-02 11:29:00,1101 S 1St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black/White,2017-04-26 17:45:00,2017-02-27 00:00:00,Neutered Male,positive,58,34
A805933,*Joey,2019-10-03 18:04:00,Webberville Road in Austin (TX),Stray,Nursing,Dog,Intact Male,Border Collie Mix,White/Chocolate,2019-11-08 18:42:00,2019-09-11 00:00:00,Neutered Male,positive,58,22
A743664,*Gallaway,2017-02-14 12:49:00,W.T Gallaway in Austin (TX),Stray,Injured,Dog,Intact Female,Dachshund,Black/Brown,2017-02-25 16:12:00,2016-08-14 00:00:00,Intact Female,positive,195,184
A686701,,2014-08-25 15:33:00,124 West Anderson Ln in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Black,2014-08-26 09:00:00,2014-03-25 00:00:00,Intact Female,positive,154,153
A660928,Sadie,2014-12-02 17:44:00,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black/White,2014-12-08 17:28:00,2014-04-03 00:00:00,Spayed Female,positive,249,243
A735039,,2016-09-17 12:09:00,7206 Eganhill in Austin (TX),Stray,Normal,Dog,Intact Female,Anatol Shepherd Mix,Sable/White,2016-09-21 18:24:00,2016-07-17 00:00:00,Spayed Female,positive,66,62
A715816,Chula,2015-11-10 15:28:00,2010 East Stassney Lane in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Chocolate/Tan,2015-11-15 17:26:00,2014-11-10 00:00:00,Spayed Female,positive,370,365
A695371,*Sylvie,2015-01-14 15:57:00,U.S. 290 & Abrahamson Rd in Travis (TX),Stray,Normal,Dog,Intact Female,Catahoula Mix,Yellow Brindle,2015-01-19 12:36:00,2014-01-14 00:00:00,Spayed Female,positive,370,365
A687295,,2014-09-03 11:11:00,400 Grove Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever/German Shepherd,Black,2014-09-14 12:24:00,2011-09-03 00:00:00,Intact Male,negative,1107,1096
A738543,,2016-11-17 12:24:00,1500 E 6Th St in Austin (TX),Stray,Sick,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,2016-11-26 11:05:00,2016-08-02 00:00:00,Intact Male,negative,116,107
A703983,*Victoria,2015-10-31 17:19:00,5704 Apple Orchard Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,Carolina Dog Mix,Tan/White,2015-12-27 11:37:00,2014-07-01 00:00:00,Spayed Female,positive,544,487
A754922,Scottie,2017-07-26 15:35:00,Bilbrook Place And Sugarberry Lane in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Brown Tabby,2017-08-14 19:23:00,2017-05-26 00:00:00,Neutered Male,positive,80,61
A733280,*Petunia,2016-08-19 16:17:00,Canterbury Trls And Manchaca Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Jack Russell Terrier Mix,White/Brown,2016-08-26 14:21:00,2014-08-19 00:00:00,Intact Female,positive,738,731
A790321,Prince,2019-03-08 13:03:00,Athens Street And Burton Street in Manor (TX),Stray,Normal,Dog,Intact Male,Miniature Schnauzer Mix,Black,2019-03-10 17:37:00,2010-03-10 00:00:00,Intact Male,positive,3287,3285
A666328,,2013-10-30 12:34:00,6802 Viewing Pl in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,2013-11-10 18:33:00,2013-08-30 00:00:00,Spayed Female,positive,72,61
A681921,*Ben,2014-06-21 15:35:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Labrador Retriever/Pit Bull,Brown Brindle/White,2014-07-04 18:41:00,2014-01-21 00:00:00,Neutered Male,positive,164,151
A673201,Rusty,2014-02-20 10:38:00,300 E Rundberg in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Brown Brindle/White,2014-04-06 18:06:00,2013-09-20 00:00:00,Neutered Male,positive,198,153
A776495,Roxie,2018-07-14 15:06:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Staffordshire Mix,Black/White,2018-08-21 11:58:00,2012-07-14 00:00:00,Spayed Female,positive,2229,2191
A705500,*Lola,2015-06-18 11:29:00,Capistrano Trl And Stormy Ridge Rd in Austin (TX),Stray,Sick,Dog,Intact Female,German Shepherd Mix,Tan/Black,2015-06-23 18:15:00,2013-06-18 00:00:00,Spayed Female,positive,735,730
A681310,Nestle,2014-08-05 11:30:00,2809 Parker Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Finnish Spitz Mix,Brown/Tan,2014-08-06 17:43:00,2013-06-14 00:00:00,Intact Male,positive,418,417
A680551,,2014-06-04 11:09:00,1413 North Weston Lance in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue/White,2014-06-20 18:05:00,2014-04-12 00:00:00,Spayed Female,positive,69,53
A768445,Prince,2018-03-19 19:04:00,Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Blue,2018-05-03 18:03:00,2012-03-19 00:00:00,Neutered Male,positive,2236,2191
A692564,Zoltan,2014-11-22 17:42:00,722 S 1St St in Austin (TX),Stray,Normal,Dog,Intact Male,Jack Russell Terrier/Australian Cattle Dog,Brown/White,2014-11-23 11:22:00,2012-05-22 00:00:00,Intact Male,positive,915,914
A802941,Quincy,2019-08-25 10:29:00,4550 Mueller in Austin (TX),Stray,Normal,Dog,Neutered Male,Yorkshire Terrier,Brown,2019-08-25 14:19:00,2007-08-25 00:00:00,Neutered Male,positive,4383,4383
A714178,Scotty,2015-10-19 12:09:00,Park Village Dr And Rutland Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Scottish Terrier Mix,Black,2015-10-24 17:46:00,2015-02-19 00:00:00,Neutered Male,positive,247,242
A700968,,2015-04-21 20:14:00,600 W. 26Th in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown,2015-04-22 08:01:00,2014-10-21 00:00:00,Unknown,negative,183,182
A700959,Giselle,2015-04-21 17:37:00,9300 Northgate Apt 219 in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,2015-11-24 17:49:00,2012-04-21 00:00:00,Spayed Female,positive,1312,1095
A678904,*South,2014-05-14 14:09:00,Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Australian Shepherd,Black/White,2014-07-09 16:40:00,2014-05-14 00:00:00,Spayed Female,positive,56,0
A758652,Diogi,2017-12-13 10:29:00,Creek Bend Drive And Dove Springs Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,Catahoula/Harrier,Tan/White,2017-12-13 16:11:00,2015-09-19 00:00:00,Neutered Male,positive,816,816
A707658,*Mint,2015-07-15 17:43:00,6118 Fairway in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,2015-08-19 17:59:00,2015-06-15 00:00:00,Spayed Female,positive,65,30
A743182,Charlie,2017-02-05 13:19:00,7001 S. Congress Ave in Austin (TX),Stray,Normal,Dog,Intact Male,Standard Poodle,Black,2017-02-06 13:45:00,2015-06-01 00:00:00,Intact Male,positive,616,615
A703247,,2015-05-22 11:43:00,6005 Signal Point in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,2015-05-23 09:00:00,2013-03-22 00:00:00,Intact Female,positive,792,791
A708496,*Stella,2015-07-28 13:55:00,824 Fairfield Dr in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,2015-11-19 17:57:00,2013-07-28 00:00:00,Spayed Female,positive,844,730
A671822,*Milo,2016-04-05 17:46:00,Austin (TX),Owner Surrender,Aged,Dog,Neutered Male,German Shepherd Mix,Black/Tan,2016-10-11 10:03:00,2006-01-31 00:00:00,Neutered Male,positive,3906,3717
A808644,*Isadora,2019-11-11 15:12:00,5810 Burleson Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Catahoula,Brown/White,2019-11-25 18:46:00,2017-11-11 00:00:00,Spayed Female,positive,744,730
A690567,,2014-10-22 15:20:00,9702 Swansons Ranch Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,2014-10-22 17:40:00,2014-09-30 00:00:00,Intact Female,positive,22,22
A755042,,2017-07-28 12:54:00,11908 Anderson Mil in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,2017-07-31 19:06:00,2017-03-28 00:00:00,Intact Female,positive,125,122
A730332,Max,2016-07-02 12:12:00,7709 Manchaca Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,Labrador Retriever Mix,White,2016-09-27 16:55:00,2012-08-24 00:00:00,Neutered Male,positive,1495,1408
A783157,,2018-10-26 11:09:00,Austin (TX),Owner Surrender,Nursing,Dog,Intact Male,Miniature Schnauzer/Yorkshire Terrier,Tan,2019-01-06 16:39:00,2018-10-26 00:00:00,Neutered Male,positive,72,0
A670631,,2014-01-11 12:28:00,N Lamar And Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Female,Chinese Sharpei,Tan,2014-01-18 16:00:00,2013-01-11 00:00:00,Intact Female,negative,372,365
A702183,Riley,2015-05-10 12:54:00,5006 Acorn Grove Ct in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown,2015-05-26 19:24:00,2013-05-10 00:00:00,Spayed Female,positive,746,730
A775479,Abby,2018-07-02 16:08:00,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Dachshund Mix,Black/White,2018-07-04 13:20:00,2015-07-04 00:00:00,Spayed Female,positive,1096,1094
A782719,*Mable,2018-10-20 11:14:00,Palmer Lane And Dessau Road in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black,2019-01-18 17:28:00,2011-01-13 00:00:00,Spayed Female,positive,2927,2837
A753083,*Gordon,2017-07-01 13:08:00,12418 Fitzhugh in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,2017-07-11 15:29:00,2017-05-17 00:00:00,Intact Male,positive,55,45
A718738,,2016-01-06 11:04:00,Quarter Horse And Tanglebriar Trail in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Yellow,2016-01-17 18:01:00,2004-01-06 00:00:00,Intact Female,negative,4394,4383
A673623,Shtinker,2014-02-28 13:46:00,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Brown,2014-03-09 12:13:00,2011-02-27 00:00:00,Spayed Female,positive,1106,1097
A723174,,2016-03-28 10:42:00,2509 Ashdale Dr in Austin (TX),Wildlife,Sick,Other,Unknown,Raccoon,Brown,2016-03-30 10:15:00,2015-09-28 00:00:00,Unknown,negative,184,182
A798867,,2019-07-01 15:08:00,13001 Center Lake Drive in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Orange Tabby,2019-07-06 14:53:00,2019-04-01 00:00:00,Neutered Male,positive,96,91
A552342,Passion,2014-01-03 13:59:00,5005 Bundyhill in Austin (TX),Stray,Normal,Dog,Spayed Female,Cocker Spaniel,Black,2014-01-06 17:23:00,2009-04-16 00:00:00,Spayed Female,positive,1726,1723
A633943,Chalky,2014-01-21 15:28:00,11913 Leda Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,Miniature Pinscher Mix,Brown,2014-02-07 18:28:00,2009-08-03 00:00:00,Neutered Male,positive,1649,1632
A688667,,2014-09-22 11:14:00,6300 Blk 1327 in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,2014-10-02 14:40:00,2014-07-22 00:00:00,Spayed Female,positive,72,62
A792663,Toby,2019-04-13 16:31:00,San Chisolm in Austin (TX),Stray,Normal,Dog,Intact Male,Siberian Husky,Red/Buff,2019-04-25 18:26:00,2017-04-13 00:00:00,Neutered Male,positive,742,730
A726264,,2016-05-09 00:01:00,Cromwell in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Cream Tabby,2016-05-13 17:25:00,2016-03-09 00:00:00,Spayed Female,positive,65,61
A710466,Jade,2015-08-23 13:36:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Siberian Husky Mix,Sable,2015-08-28 11:37:00,2010-08-23 00:00:00,Spayed Female,positive,1831,1826
A688785,,2014-09-23 18:38:00,4812 Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Intact Male,American Bulldog Mix,Brown/White,2014-09-30 08:16:00,2012-09-23 00:00:00,Intact Male,negative,737,730
A711115,Brave,2015-09-02 12:02:00,13304 Wright Rd in Travis (TX),Stray,Normal,Dog,Intact Male,Black Mouth Cur/Catahoula,Black Brindle/White,2015-09-06 17:30:00,2015-06-17 00:00:00,Neutered Male,positive,81,77
A748332,,2017-05-01 18:01:00,1105 Brookwood in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black Tabby,2017-06-29 08:12:00,2017-04-09 00:00:00,Neutered Male,positive,81,22
A792617,Guero,2019-04-12 16:25:00,Austin (TX),Public Assist,Normal,Dog,Intact Male,Jack Russell Terrier Mix,White/Brown,2019-08-31 14:05:00,2016-04-12 00:00:00,Neutered Male,positive,1236,1095
A698020,Scooby,2015-03-04 17:54:00,Bannock Ln And Rosborogh Dr in Austin (TX),Stray,Sick,Dog,Intact Male,Chihuahua Shorthair/Rat Terrier,White/Black,2015-03-15 17:30:00,2014-05-04 00:00:00,Neutered Male,positive,315,304
A684488,Mikey,2014-09-14 12:13:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,Australian Shepherd/Pit Bull,Black Brindle/White,2014-09-24 12:56:00,2012-07-24 00:00:00,Neutered Male,positive,792,782
A604708,Red,2016-01-22 16:31:00,5017 Us 290 in Austin (TX),Stray,Normal,Dog,Neutered Male,Pit Bull Mix,Brown/White,2016-01-24 15:02:00,2010-11-13 00:00:00,Neutered Male,positive,1898,1896
A679963,*Greta,2014-05-28 13:14:00,7125 Howerington Cir in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,2014-09-08 16:23:00,2014-04-22 00:00:00,Spayed Female,positive,139,36
A772572,*Auggie,2018-05-21 13:06:00,Stonelake Boulevard And Capitol Of Texas Highway in Austin (TX),Stray,Normal,Dog,Intact Male,Boxer/Australian Kelpie,Tan/White,2018-05-30 17:40:00,2017-08-21 00:00:00,Neutered Male,positive,282,273
A706337,,2015-06-27 15:40:00,4703 Crest Oak in Austin (TX),Stray,Normal,Cat,Intact Female,Siamese Mix,Seal Point,2015-06-28 09:00:00,2014-12-27 00:00:00,Intact Female,positive,183,182
A781316,,2018-09-27 12:27:00,2101 South Lakeline Boulevard in Cedar Park (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black Tabby,2018-10-01 18:42:00,2018-07-27 00:00:00,Neutered Male,positive,66,62
