Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake,percent,Duration of Stay (in days),monthIntake,monthOutcome
A793038,Austin (TX),Owner Surrender,Sick,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,Spayed Female,negative,366,365,0.6369426751592357,1,4,4
A693222,1809 W 36Th St in Austin (TX),Wildlife,Injured,Other,Unknown,Opossum Mix,Gray/White,Unknown,negative,365,365,2.272727272727273,0,12,12
A730348,4700 Riverside in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Pit Bull,Brown/White,Spayed Female,positive,95,91,0.1371742112482853,4,7,7
A681347,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,positive,139,137,0.6369426751592357,2,8,8
A721364,Riverside And South Congress Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,Boxer Mix,Black/White,Neutered Male,positive,365,365,0.1371742112482853,0,2,2
A684049,Austin (TX),Public Assist,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,White/Brown,Spayed Female,positive,374,365,1.7857142857142856,9,7,7
A705271,13015 Silver Creek Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Black/White,Intact Male,positive,33,31,0.1371742112482853,2,6,6
A712556,901 Fall Creek in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby/White,Spayed Female,positive,277,272,0.1371742112482853,5,10,10
A716067,Austin (TX),Owner Surrender,Aged,Dog,Intact Male,Dachshund Mix,Red,Neutered Male,positive,4788,4748,0.6369426751592357,40,11,12
A748156,20400 Quiet Oaks Ln in Travis (TX),Stray,Normal,Dog,Intact Male,Australian Cattle Dog Mix,Brown/White,Neutered Male,positive,382,365,0.1371742112482853,17,4,5
A760227,Kinney Avenue And Margaret St in Austin (TX),Stray,Normal,Dog,Neutered Male,Labrador Retriever Mix,Tan/White,Neutered Male,positive,76,75,0.1371742112482853,1,10,10
A679765,Austin (TX),Stray,Normal,Dog,Intact Male,Beagle Mix,Tricolor,Neutered Male,positive,1100,1096,0.1371742112482853,4,5,5
A726596,8802 Clearbrook Trl in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Spayed Female,positive,81,23,0.1371742112482853,58,5,7
A678778,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Labrador Retriever Mix,Cream,Neutered Male,negative,4385,4383,0.6369426751592357,2,5,5
A694571,E 5Th St & Chicon St in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Chocolate/White,Neutered Male,positive,371,365,0.1371742112482853,6,12,1
A748361,600 Barwood Park in Austin (TX),Stray,Sick,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,Spayed Female,positive,1829,1826,0.1371742112482853,3,5,5
A666034,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie,Spayed Female,positive,88,83,0.6369426751592357,5,10,10
A693062,5129 Cameron Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,Pit Bull Mix,Tan/White,Neutered Male,positive,2557,2557,0.1371742112482853,0,12,12
A726629,2And And Attayca in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,White/Black,Intact Male,positive,48,32,0.1371742112482853,16,5,5
A752370,Rosewood And Chicon in Austin (TX),Stray,Normal,Dog,Intact Female,Staffordshire Mix,Blue/White,Spayed Female,positive,384,365,0.1371742112482853,19,6,7
A685593,1005 Fairmount Ave in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Calico,Intact Female,positive,365,365,0.1371742112482853,0,8,8
A748122,5407 Tallow Tree Drive in Austin (TX),Stray,Other,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Intact Female,positive,30,22,0.1371742112482853,8,4,5
A803127,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Wire Hair Fox Terrier,Black/White,Neutered Male,positive,151,149,0.6369426751592357,2,9,9
A684415,Chevy Chase in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Longhair Mix,Blue,Spayed Female,positive,58,30,0.1371742112482853,28,7,8
A727345,S Congress Ave & W Riverside Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,Alaskan Husky Mix,Tricolor,Spayed Female,positive,888,731,0.1371742112482853,157,5,10
A732802,1229 Dexford Drive in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Neutered Male,positive,77,49,0.1371742112482853,28,8,9
A664474,51St And Cameron in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Neutered Male,positive,134,37,0.1371742112482853,97,10,1
A723547,6108 Calmar Cove Unit B in Austin (TX),Stray,Nursing,Cat,Intact Male,Domestic Shorthair Mix,Blue,Neutered Male,positive,97,0,0.1371742112482853,97,4,7
A790971,8807 Redfield Lane in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,514,365,0.1371742112482853,149,3,8
A701449,2008 Sandberg in Austin (TX),Wildlife,Sick,Other,Unknown,Raccoon Mix,Black/White,Unknown,negative,731,730,2.272727272727273,1,4,4
A730125,12405 Alameda in Austin (TX),Stray,Sick,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Intact Male,negative,40,40,0.1371742112482853,0,6,6
A680870,7006 Appaloosa Ct in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,90,22,0.1371742112482853,68,6,8
A671184,10005 Hampshire Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black,Intact Male,positive,550,549,0.1371742112482853,1,1,1
A681368,Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Calico,Intact Female,positive,4388,4383,0.1371742112482853,5,6,6
A782559,Houston Street And Burnet Road in Austin (TX),Stray,Normal,Dog,Intact Female,Dachshund Mix,Brown/White,Spayed Female,positive,1102,1096,0.1371742112482853,6,10,10
A805752,Loyola Lane And Johnny Morris Road in Austin (TX),Stray,Normal,Dog,Spayed Female,Chihuahua Shorthair,Tan/White,Spayed Female,positive,365,365,0.1371742112482853,0,10,10
A664692,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Russian Blue Mix,Blue,Neutered Male,positive,2212,2192,0.6369426751592357,20,10,10
A680778,Rundberg And Lamar in Austin (TX),Stray,Injured,Dog,Intact Male,Great Pyrenees/Labrador Retriever,White,Neutered Male,positive,760,730,0.1371742112482853,30,6,7
A720696,8940 Research Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,Bat Mix,Brown,Unknown,negative,367,365,2.272727272727273,2,2,2
A673852,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Dachshund/Chihuahua Shorthair,Brown/White,Spayed Female,positive,1142,1096,0.6369426751592357,46,3,4
A793006,Veterans Drive And Lake Austin Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,Anatol Shepherd/German Shepherd,Black/Tricolor,Intact Male,positive,19,19,0.1371742112482853,0,4,4
A683809,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Manx Mix,Black,Intact Male,positive,745,730,0.6369426751592357,15,7,7
A805727,11622 Doyle Overton Road in Austin (TX),Stray,Normal,Dog,Intact Female,Australian Cattle Dog,Red Tick/Tricolor,Spayed Female,positive,159,153,0.1371742112482853,6,10,10
A779852,6301 Harold Court in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,Intact Female,negative,50,49,0.1371742112482853,1,9,9
A775445,7610 Cameron Rd in Austin (TX),Public Assist,Injured,Cat,Intact Female,Domestic Shorthair Mix,Cream Tabby/White,Spayed Female,positive,175,133,1.7857142857142856,42,6,8
A666307,7418 Cameron Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Yorkshire Terrier Mix,Black/Tan,Intact Female,positive,45,45,0.1371742112482853,0,10,10
A664719,14000 Harris Ridge Blvd in Pflugerville (TX),Stray,Normal,Dog,Intact Female,Jack Russell Terrier/Brittany,Red/White,Spayed Female,positive,377,365,0.1371742112482853,12,10,10
A710031,Redwater Dr And Manchaca Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Pit Bull,Black/White,Spayed Female,positive,78,69,0.1371742112482853,9,8,8
A676761,1088 Park Plaza in Austin (TX),Stray,Normal,Dog,Intact Female,Pit Bull Mix,Tan/White,Intact Female,positive,127,121,0.1371742112482853,6,4,4
A691696,9715 N Fm 620 in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Blue/White,Neutered Male,positive,206,199,0.1371742112482853,7,11,11
A726358,11806 Oak Trl in Austin (TX),Stray,Normal,Dog,Intact Female,Siberian Husky Mix,Red/White,Spayed Female,positive,370,366,0.1371742112482853,4,5,5
A780678,Regency Drive And Fm 969 in Austin (TX),Stray,Normal,Dog,Intact Female,Jack Russell Terrier/Chihuahua Shorthair,Tricolor/White,Spayed Female,positive,371,365,0.1371742112482853,6,9,9
A716131,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,Chihuahua Shorthair Mix,Yellow,Neutered Male,positive,671,669,0.6369426751592357,2,11,11
A735460,1004 Ellingson in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,Neutered Male,positive,1100,1096,0.6369426751592357,4,9,9
A738210,Austin (TX),Public Assist,Normal,Cat,Neutered Male,Domestic Longhair,Black,Neutered Male,positive,920,915,1.7857142857142856,5,11,11
A674130,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Finnish Spitz Mix,Red,Neutered Male,positive,858,743,0.6369426751592357,115,3,7
A746387,6919 Villita Avenida in Austin (TX),Public Assist,Normal,Dog,Neutered Male,Miniature Poodle Mix,White,Neutered Male,positive,2564,2557,1.7857142857142856,7,4,4
A704987,21306 Dodge Trl in Lago Vista (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,87,76,0.1371742112482853,11,6,6
A690218,1401 Rundberg Ln in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Brown,Intact Female,positive,738,730,0.1371742112482853,8,10,10
A698073,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Labrador Retriever/Blue Lacy,Blue/White,Spayed Female,positive,519,510,1.7857142857142856,9,5,5
A784313,2206 Blue Meadow Dr in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd Mix,Tan,Neutered Male,positive,749,730,0.1371742112482853,19,11,12
A705116,16901 Hayride Circle in Travis (TX),Stray,Nursing,Dog,Intact Male,German Shepherd Mix,Chocolate,Intact Male,positive,2,2,0.1371742112482853,0,6,6
A758981,13355 N Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Male,Shih Tzu Mix,White/Tan,Intact Male,positive,274,273,0.1371742112482853,1,9,9
A790058,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Pit Bull Mix,Tan/White,Spayed Female,positive,812,791,0.6369426751592357,21,5,5
A795117,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Boxer/Pit Bull,Black/White,Spayed Female,positive,92,89,0.6369426751592357,3,5,5
A616934,Macmora Drive And Click in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Blue/White,Intact Male,positive,3140,3122,0.1371742112482853,18,7,8
A795023,2014 Wheless Lane in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Brown Tabby/White,Intact Male,positive,369,365,0.1371742112482853,4,5,5
A742950,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,Neutered Male,positive,498,388,0.6369426751592357,110,2,6
A750937,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,Intact Female,positive,29,22,0.1371742112482853,7,6,6
A689408,2329 Bendridge in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,98,45,0.1371742112482853,53,10,11
A802508,14000 Tyburn Trail in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Longhair,Blue Tabby,Neutered Male,positive,73,32,0.1371742112482853,41,8,9
A736346,5006 Emerald Forest in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,positive,66,37,0.1371742112482853,29,10,11
A790365,21007 Hog Eye Rd in Travis (TX),Stray,Normal,Other,Unknown,Bat,Black,Unknown,negative,367,365,0.1371742112482853,2,3,3
A802736,11800 Garden Gate Dr in Travis (TX),Stray,Normal,Dog,Intact Male,Beagle/Labrador Retriever,Brown/White,Neutered Male,positive,372,365,0.1371742112482853,7,8,8
A811335,204 Meadow Lea Drive in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd,Black/Tan,Intact Male,positive,737,730,0.1371742112482853,7,1,1
A767918,8311 Annabelle Drive in Travis (TX),Stray,Nursing,Dog,Unknown,Chihuahua Shorthair Mix,Brown/Black,Unknown,positive,11,11,0.1371742112482853,0,3,3
A756051,14000 Sunderland Dr in Austin (TX),Stray,Normal,Cat,Intact Male,American Shorthair Mix,Black/Black,Intact Male,positive,186,181,0.1371742112482853,5,8,8
A765199,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Pointer Mix,Black/White,Spayed Female,positive,63,61,0.6369426751592357,2,1,1
A727185,1600 Grove Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Anatol Shepherd Mix,Tan/Black,Neutered Male,positive,215,213,0.1371742112482853,2,5,5
A782255,6708 Lancret Hill Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,3684,3652,0.1371742112482853,32,10,11
A769229,South Congress And Stassney in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Weimaraner,Black/White,Intact Female,positive,732,730,0.1371742112482853,2,4,4
A731125,Riverside And Montopolis Dr in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd Mix,Black/Brown,Neutered Male,positive,66,61,0.1371742112482853,5,7,7
A759416,12028 Trot Wood Drive in Austin (TX),Public Assist,Normal,Cat,Neutered Male,Domestic Medium Hair Mix,Blue Tabby,Neutered Male,positive,4391,4383,1.7857142857142856,8,10,10
A771998,2906 East Martin Luther King Jr Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Intact Male,positive,30,28,0.1371742112482853,2,5,5
A756501,6705 Hillcroft in Austin (TX),Stray,Sick,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,61,61,0.1371742112482853,0,8,8
A720168,Fletcher Ln And Tx-71 in Austin (TX),Stray,Normal,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Tan,Neutered Male,positive,1157,1157,0.1371742112482853,0,4,4
A730022,5700 Peppertree in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Brown/Black,Intact Female,positive,257,257,0.1371742112482853,0,6,6
A743775,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Australian Cattle Dog Mix,White/Tan,Spayed Female,positive,465,462,0.6369426751592357,3,5,5
A768027,Marquette And Haney Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Pug,Fawn,Intact Male,positive,3654,3652,0.1371742112482853,2,3,3
A750882,Manchaca And Slaughter in Austin (TX),Stray,Normal,Dog,Intact Female,Border Collie Mix,White/Black,Spayed Female,positive,741,731,0.1371742112482853,10,6,6
A808978,Jonestown (TX),Owner Surrender,Normal,Dog,Intact Male,Dachshund/Chihuahua Longhair,Cream/White,Neutered Male,positive,57,56,0.6369426751592357,1,11,11
A793306,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Great Dane Mix,Black,Neutered Male,positive,70,68,0.6369426751592357,2,4,4
A750029,11413 Darrin Ln in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,70,30,0.1371742112482853,40,5,7
A702315,911 North Meadow Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Blue,Neutered Male,positive,76,37,0.1371742112482853,39,5,6
A763042,10312 Catherine in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Brown Tabby,Spayed Female,positive,128,106,0.1371742112482853,22,12,12
A802270,Adina And Bandera in Austin (TX),Stray,Nursing,Dog,Intact Male,Pit Bull Mix,White/Black,Intact Male,positive,23,7,0.1371742112482853,16,8,8
A666221,12034 Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,Beagle,Tricolor,Intact Female,positive,365,365,0.1371742112482853,0,10,10
A795947,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,Old English Sheepdog Mix,Gray/White,Spayed Female,positive,1835,1830,0.6369426751592357,5,5,6
A692613,1306 Perez St in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie/White,Intact Female,positive,67,53,0.1371742112482853,14,11,12
A691425,4106 N.Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,Pointer Mix,White/Black,Spayed Female,positive,754,730,0.1371742112482853,24,11,11
A786098,South Mopac Expressway And 360 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,60,36,0.1371742112482853,24,12,1
A757463,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,Vizsla Mix,Brown,Spayed Female,positive,1462,1462,1.7857142857142856,0,9,9
A734801,7600 Timber Hills Dr in Del Valle (TX),Stray,Normal,Dog,Intact Male,Anatol Shepherd/Black Mouth Cur,Tan/Black,Neutered Male,positive,195,184,0.1371742112482853,11,9,9
A765248,3411 Lakeside Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,2192,2191,0.1371742112482853,1,1,1
A390436,1100 Arcadia Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,Pointer Mix,White/Brown,Neutered Male,positive,5038,5038,0.1371742112482853,0,1,1
A680336,114 Mist Flower in Pflugerville (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,75,34,0.1371742112482853,41,6,7
A738032,1201 Grove Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Agouti,Neutered Male,positive,69,61,0.1371742112482853,8,11,11
A758687,Catherine Drive And Blue Bluff in Austin (TX),Stray,Normal,Cat,Intact Male,American Shorthair Mix,Black,Intact Male,positive,7,7,0.1371742112482853,0,9,9
A672748,1111 W 34Th St in Austin (TX),Public Assist,Normal,Other,Unknown,Bat Mix,Brown/Black,Unknown,negative,1096,1096,1.7857142857142856,0,2,2
A677538,909 W 45Th St in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Calico,Intact Female,positive,15,15,0.1371742112482853,0,4,4
A737077,7809 E Ben White Blvd in Austin (TX),Public Assist,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Tan,Neutered Male,positive,390,366,1.7857142857142856,24,10,11
A753452,6808 Porter St in Austin (TX),Wildlife,Sick,Other,Unknown,Opossum Mix,Gray/White,Unknown,negative,1826,1826,2.272727272727273,0,7,7
A795800,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Lhasa Apso,Tan/White,Intact Male,positive,3734,3652,0.6369426751592357,82,5,8
A690591,2308 Wickersham in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Intact Female,positive,22,21,0.1371742112482853,1,10,10
A724376,10600 Burleson in Travis (TX),Stray,Normal,Dog,Intact Female,Norwich Terrier Mix,Tan,Spayed Female,positive,372,366,0.1371742112482853,6,4,4
A675341,409 Whitetail Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,132,116,0.1371742112482853,16,4,4
A803736,12803 Broughton Way in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Gray Tabby,Intact Male,positive,31,24,0.1371742112482853,7,9,9
A730018,2805 Palomino Trl in Austin (TX),Stray,Normal,Dog,Intact Female,Dachshund Wirehair/Miniature Schnauzer,Gray/Tan,Spayed Female,positive,371,366,0.1371742112482853,5,6,7
A714199,8902 Briardale Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,93,92,0.1371742112482853,1,10,10
A690760,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Rat Terrier Mix,White/Black,Spayed Female,positive,915,913,0.6369426751592357,2,10,10
A673394,1909 Blue Meadow in Austin (TX),Stray,Injured,Dog,Spayed Female,Pit Bull Mix,Brown Brindle/White,Spayed Female,negative,2047,2046,0.1371742112482853,1,10,10
A585930,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,3418,3382,0.6369426751592357,36,5,6
A782046,Fort Branch And Delano in Austin (TX),Stray,Normal,Dog,Spayed Female,English Coonhound Mix,Tricolor/Brown,Spayed Female,positive,470,468,0.1371742112482853,2,12,12
A709748,Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White,Intact Female,positive,58,46,0.1371742112482853,12,8,8
A707813,12407 Mossy Bark Trail in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Black,Unknown,positive,731,730,0.1371742112482853,1,7,7
A769325,Lamar And Guadalupe in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Black/White,Neutered Male,positive,64,59,0.1371742112482853,5,4,4
A678416,4402 Quicksilver in Austin (TX),Stray,Normal,Dog,Intact Male,Yorkshire Terrier Mix,Blue/Tan,Neutered Male,positive,4388,4383,0.1371742112482853,5,5,5
A785091,1901 National Park Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,Pug Mix,Fawn/Brown,Spayed Female,positive,2557,2557,0.1371742112482853,0,11,11
A690851,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Irish Setter/Pit Bull,Black/White,Intact Female,positive,45,45,0.6369426751592357,0,10,10
A740256,Wickersham & Cromwell in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Intact Female,positive,22,21,0.1371742112482853,1,12,12
A807216,Oak Springs Drive And Airport Boulevard in Austin (TX),Stray,Injured,Cat,Spayed Female,Domestic Shorthair,Black/White,Spayed Female,positive,99,61,0.1371742112482853,38,10,11
A754917,Outside Jurisdiction,Owner Surrender,Normal,Other,Neutered Male,Rabbit Sh Mix,Black,Neutered Male,positive,231,194,0.6369426751592357,37,10,11
A681642,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Chocolate/White,Spayed Female,positive,806,805,0.6369426751592357,1,9,9
A718657,Lamplight Village Ave And Scofield Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,White/Chocolate,Neutered Male,positive,398,365,0.1371742112482853,33,1,2
A733101,13201 N Fm 620 in Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Black/White,Neutered Male,positive,828,731,1.7857142857142856,97,8,11
A746400,1101 S 1St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black/White,Neutered Male,positive,58,34,0.1371742112482853,24,4,4
A805933,Webberville Road in Austin (TX),Stray,Nursing,Dog,Intact Male,Border Collie Mix,White/Chocolate,Neutered Male,positive,58,22,0.1371742112482853,36,10,11
A743664,W.T Gallaway in Austin (TX),Stray,Injured,Dog,Intact Female,Dachshund,Black/Brown,Intact Female,positive,195,184,0.1371742112482853,11,2,2
A686701,124 West Anderson Ln in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Black,Intact Female,positive,154,153,0.1371742112482853,1,8,8
A660928,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black/White,Spayed Female,positive,249,243,1.7857142857142856,6,12,12
A735039,7206 Eganhill in Austin (TX),Stray,Normal,Dog,Intact Female,Anatol Shepherd Mix,Sable/White,Spayed Female,positive,66,62,0.1371742112482853,4,9,9
A715816,2010 East Stassney Lane in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Chocolate/Tan,Spayed Female,positive,370,365,0.1371742112482853,5,11,11
A695371,U.S. 290 & Abrahamson Rd in Travis (TX),Stray,Normal,Dog,Intact Female,Catahoula Mix,Yellow Brindle,Spayed Female,positive,370,365,0.1371742112482853,5,1,1
A687295,400 Grove Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever/German Shepherd,Black,Intact Male,negative,1107,1096,0.1371742112482853,11,9,9
A738543,1500 E 6Th St in Austin (TX),Stray,Sick,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,Intact Male,negative,116,107,0.1371742112482853,9,11,11
A703983,5704 Apple Orchard Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,Carolina Dog Mix,Tan/White,Spayed Female,positive,544,487,0.1371742112482853,57,10,12
A754922,Bilbrook Place And Sugarberry Lane in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Brown Tabby,Neutered Male,positive,80,61,0.1371742112482853,19,7,8
A733280,Canterbury Trls And Manchaca Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Jack Russell Terrier Mix,White/Brown,Intact Female,positive,738,731,0.1371742112482853,7,8,8
A790321,Athens Street And Burton Street in Manor (TX),Stray,Normal,Dog,Intact Male,Miniature Schnauzer Mix,Black,Intact Male,positive,3287,3285,0.1371742112482853,2,3,3
A666328,6802 Viewing Pl in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,72,61,0.1371742112482853,11,10,11
A681921,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Labrador Retriever/Pit Bull,Brown Brindle/White,Neutered Male,positive,164,151,0.6369426751592357,13,6,7
A673201,300 E Rundberg in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Brown Brindle/White,Neutered Male,positive,198,153,0.1371742112482853,45,2,4
A776495,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Staffordshire Mix,Black/White,Spayed Female,positive,2229,2191,0.6369426751592357,38,7,8
A705500,Capistrano Trl And Stormy Ridge Rd in Austin (TX),Stray,Sick,Dog,Intact Female,German Shepherd Mix,Tan/Black,Spayed Female,positive,735,730,0.1371742112482853,5,6,6
A681310,2809 Parker Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Finnish Spitz Mix,Brown/Tan,Intact Male,positive,418,417,0.1371742112482853,1,8,8
A680551,1413 North Weston Lance in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue/White,Spayed Female,positive,69,53,0.1371742112482853,16,6,6
A768445,Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Blue,Neutered Male,positive,2236,2191,1.7857142857142856,45,3,5
A692564,722 S 1St St in Austin (TX),Stray,Normal,Dog,Intact Male,Jack Russell Terrier/Australian Cattle Dog,Brown/White,Intact Male,positive,915,914,0.1371742112482853,1,11,11
A802941,4550 Mueller in Austin (TX),Stray,Normal,Dog,Neutered Male,Yorkshire Terrier,Brown,Neutered Male,positive,4383,4383,0.1371742112482853,0,8,8
A714178,Park Village Dr And Rutland Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Scottish Terrier Mix,Black,Neutered Male,positive,247,242,0.1371742112482853,5,10,10
